"Species","Year","Num_of_trees","sss"
"FRAM",2013,31,0.938
"FRAM",2014,24,0.901
"FRAM",2015,21,0.879
"FRAM",2016,15,0.816
"FRAM",2017,5,0.543
"FRNI",1871,1,0.288
"FRNI",1872,1,0.288
"FRNI",1873,1,0.288
"FRNI",1874,1,0.288
"FRNI",1875,1,0.288
"FRNI",1876,1,0.288
"FRNI",1877,1,0.288
"FRNI",1878,1,0.288
"FRNI",1879,1,0.288
"FRNI",1880,1,0.288
"FRNI",1881,1,0.288
"FRNI",1882,1,0.288
"FRNI",1883,1,0.288
"FRNI",1884,1,0.288
"FRNI",1885,1,0.288
"FRNI",1886,1,0.288
"FRNI",1887,1,0.288
"FRNI",1888,1,0.288
"FRNI",1889,1,0.288
"FRNI",1890,1,0.288
"FRNI",1891,1,0.288
"FRNI",1892,1,0.288
"FRNI",1893,1,0.288
"FRNI",1894,1,0.288
"FRNI",1895,1,0.288
"FRNI",1896,1,0.288
"FRNI",1897,1,0.288
"FRNI",1898,1,0.288
"FRNI",1899,1,0.288
"FRNI",1900,1,0.288
"FRNI",1901,1,0.288
"FRNI",1902,1,0.288
"FRNI",1903,1,0.288
"FRNI",1904,2,0.477
"FRNI",1905,3,0.61
"FRNI",1906,3,0.61
"FRNI",1907,3,0.61
"FRNI",1908,3,0.61
"FRNI",1909,3,0.61
"FRNI",1910,3,0.61
"FRNI",1911,3,0.61
"FRNI",1912,4,0.708
"FRNI",1913,4,0.708
"FRNI",1914,4,0.708
"FRNI",1915,4,0.708
"FRNI",1916,6,0.845
"FRNI",1917,7,0.895
"FRNI",1918,7,0.895
"FRNI",1919,7,0.895
"FRNI",1920,7,0.895
"FRNI",1921,7,0.895
"FRNI",1922,7,0.895
"FRNI",1923,7,0.895
"FRNI",1924,7,0.895
"FRNI",1925,7,0.895
"FRNI",1926,7,0.895
"FRNI",1927,7,0.895
"FRNI",1928,7,0.895
"FRNI",1929,7,0.895
"FRNI",1930,7,0.895
"FRNI",1931,7,0.895
"FRNI",1932,7,0.895
"FRNI",1933,7,0.895
"FRNI",1934,7,0.895
"FRNI",1935,7,0.895
"FRNI",1936,7,0.895
"FRNI",1937,7,0.895
"FRNI",1938,7,0.895
"FRNI",1939,7,0.895
"FRNI",1940,8,0.936
"FRNI",1941,8,0.936
"FRNI",1942,9,0.97
"FRNI",1943,10,1
"FRNI",1944,10,1
"FRNI",1945,10,1
"FRNI",1946,10,1
"FRNI",1947,10,1
"FRNI",1948,10,1
"FRNI",1949,10,1
"FRNI",1950,10,1
"FRNI",1951,10,1
"FRNI",1952,10,1
"FRNI",1953,10,1
"FRNI",1954,10,1
"FRNI",1955,11,1
"FRNI",1956,11,1
"FRNI",1957,11,1
"FRNI",1958,11,1
"FRNI",1959,11,1
"FRNI",1960,11,1
"FRNI",1961,12,1
"FRNI",1962,12,1
"FRNI",1963,13,1
"FRNI",1964,14,1
"FRNI",1965,14,1
"FRNI",1966,14,1
"FRNI",1967,14,1
"FRNI",1968,15,1
"FRNI",1969,15,1
"FRNI",1970,15,1
"FRNI",1971,15,1
"FRNI",1972,15,1
"FRNI",1973,16,1
"FRNI",1974,16,1
"FRNI",1975,16,1
"FRNI",1976,16,1
"FRNI",1977,17,1
"FRNI",1978,17,1
"FRNI",1979,17,1
"FRNI",1980,17,1
"FRNI",1981,17,1
"FRNI",1982,17,1
"FRNI",1983,17,1
"FRNI",1984,17,1
"FRNI",1985,17,1
"FRNI",1986,17,1
"FRNI",1987,17,1
"FRNI",1988,17,1
"FRNI",1989,17,1
"FRNI",1990,17,1
"FRNI",1991,17,1
"FRNI",1992,17,1
"FRNI",1993,17,1
"FRNI",1994,17,1
"FRNI",1995,17,1
"FRNI",1996,17,1
"FRNI",1997,17,1
"FRNI",1998,17,1
"FRNI",1999,17,1
"FRNI",2000,17,1
"FRNI",2001,17,1
"FRNI",2002,17,1
"FRNI",2003,17,1
"FRNI",2004,17,1
"FRNI",2005,16,1
"FRNI",2006,14,1
"FRNI",2007,14,1
"FRNI",2008,14,1
"FRNI",2009,14,1
"FRNI",2010,13,1
"FRNI",2011,13,1
"FRNI",2012,12,1
"FRNI",2013,12,1
"FRNI",2014,12,1
"FRNI",2015,9,0.97
"FRNI",2016,4,0.708
"JUNI",1880,1,0.303
"JUNI",1881,1,0.303
"JUNI",1882,1,0.303
"JUNI",1883,1,0.303
"JUNI",1884,1,0.303
"JUNI",1885,1,0.303
"JUNI",1886,1,0.303
"JUNI",1887,1,0.303
"JUNI",1888,1,0.303
"JUNI",1889,1,0.303
"JUNI",1890,1,0.303
"JUNI",1891,2,0.476
"JUNI",1892,2,0.476
"JUNI",1893,2,0.476
"JUNI",1894,2,0.476
"JUNI",1895,2,0.476
"JUNI",1896,2,0.476
